jobset,unit_id,coder_id,status,variable,value,time_question,time_answer
All,11514,123,DONE,relevant-2,Empirical study,2023-11-15T14:29:37.949Z,2023-11-15T14:29:41.625Z
All,11514,123,DONE,relevant-3,Yes,2023-11-15T14:29:41.923Z,2023-11-15T14:29:52.564Z
All,15727,123,DONE,relevant-1,Yes,2023-11-15T14:29:53.539Z,2023-11-15T14:30:06.149Z
All,15727,123,DONE,relevant-2,Methodological paper,2023-11-15T14:30:06.731Z,2023-11-15T14:30:09.547Z
All,15727,123,DONE,relevant-3,Yes,2023-11-15T14:30:09.918Z,2023-11-15T14:30:11.845Z
All,12641,123,DONE,relevant-1,Yes,2023-11-15T14:30:12.819Z,2023-11-15T14:32:58.116Z
All,12641,123,DONE,relevant-2,Methodological paper,2023-11-15T14:32:58.774Z,2023-11-15T14:33:05.797Z
All,12641,123,DONE,relevant-3,Yes,2023-11-15T14:33:06.159Z,2023-11-15T14:33:47.031Z
All,9698,123,DONE,relevant-1,No (or unclear),2023-11-15T14:33:47.969Z,2023-11-15T14:34:45.619Z
All,9698,123,DONE,relevant-2,IRRELEVANT,,
All,9698,123,DONE,relevant-3,IRRELEVANT,,
All,4054,123,DONE,relevant-1,Yes,2023-11-15T14:34:47.641Z,2023-11-15T14:37:48.531Z
All,4054,123,DONE,relevant-2,Methodological paper,2023-11-15T14:37:49.221Z,2023-11-15T14:37:52.044Z
All,4054,123,DONE,relevant-3,Yes,2023-11-15T14:37:52.380Z,2023-11-15T14:38:00.114Z
All,14110,123,DONE,relevant-1,No (or unclear),2023-11-15T14:38:01.191Z,2023-11-15T14:38:35.549Z
All,14110,123,DONE,relevant-2,IRRELEVANT,,
All,14110,123,DONE,relevant-3,IRRELEVANT,,
All,15098,123,DONE,relevant-1,Yes,2023-11-15T14:38:36.824Z,2023-11-15T14:39:18.231Z
All,15098,123,DONE,relevant-2,Empirical study,2023-11-15T14:39:18.928Z,2023-11-15T14:39:21.862Z
All,15098,123,DONE,relevant-3,No (or unclear),2023-11-15T14:39:22.151Z,2023-11-15T14:39:30.162Z
All,10162,123,DONE,relevant-1,Yes,2023-11-17T08:38:39.393Z,2023-11-17T08:39:15.663Z
All,10162,123,DONE,relevant-2,Methodological paper,2023-11-17T08:39:16.494Z,2023-11-17T08:39:43.452Z
All,10162,123,DONE,relevant-3,Yes,2023-11-17T08:39:43.810Z,2023-11-17T08:39:45.687Z
All,8952,96,DONE,relevant-1,Yes,2023-11-15T15:07:28.949Z,2023-11-15T15:08:28.616Z
All,8952,96,DONE,relevant-2,Methodological paper,2023-11-15T15:08:29.024Z,2023-11-15T15:08:37.824Z
All,8952,96,DONE,relevant-3,Yes,2023-11-15T15:08:38.023Z,2023-11-15T15:08:41.152Z
All,4780,96,DONE,relevant-1,No (or unclear),2023-11-15T15:08:41.840Z,2023-11-15T15:09:53.288Z
All,4780,96,DONE,relevant-2,IRRELEVANT,,
All,4780,96,DONE,relevant-3,IRRELEVANT,,
All,12428,96,DONE,relevant-1,Yes,2023-11-15T15:09:54.074Z,2023-11-15T15:11:06.064Z
All,12428,96,DONE,relevant-2,Methodological paper,2023-11-15T15:11:06.465Z,2023-11-15T15:11:16.544Z
All,12428,96,DONE,relevant-3,Yes,2023-11-15T15:11:16.742Z,2023-11-15T15:11:19.944Z
All,11514,96,DONE,relevant-1,Yes,2023-11-15T15:11:20.619Z,2023-11-15T15:11:42.072Z
All,11514,96,DONE,relevant-2,Empirical study,2023-11-15T15:11:42.471Z,2023-11-15T15:11:43.696Z
All,11514,96,DONE,relevant-3,Yes,2023-11-15T15:11:43.905Z,2023-11-15T15:11:53.520Z
All,15727,96,DONE,relevant-1,Yes,2023-11-15T15:11:54.237Z,2023-11-15T15:12:40.824Z
All,15727,96,DONE,relevant-2,Methodological paper,2023-11-15T15:12:41.220Z,2023-11-15T15:12:42.400Z
All,15727,96,DONE,relevant-3,Yes,2023-11-15T15:12:42.613Z,2023-11-15T15:12:43.704Z
All,12641,96,DONE,relevant-1,Yes,2023-11-15T15:12:44.379Z,2023-11-15T15:13:50.712Z
All,12641,96,DONE,relevant-2,Methodological paper,2023-11-15T15:13:51.119Z,2023-11-15T15:14:10.360Z
All,12641,96,DONE,relevant-3,No (or unclear),2023-11-15T15:14:10.584Z,2023-11-15T15:14:14.816Z
All,9698,96,DONE,relevant-1,Yes,2023-11-15T15:14:15.485Z,2023-11-15T15:14:51.095Z
All,9698,96,DONE,relevant-2,Methodological paper,2023-11-15T15:14:51.515Z,2023-11-15T15:14:52.184Z
All,9698,96,DONE,relevant-3,Yes,2023-11-15T15:14:52.378Z,2023-11-15T15:14:53.288Z
All,4054,96,DONE,relevant-1,Yes,2023-11-27T19:06:45.288Z,2023-11-27T19:07:29.568Z
All,4054,96,DONE,relevant-2,Methodological paper,2023-11-27T19:07:30.068Z,2023-11-27T19:07:40.677Z
All,4054,96,DONE,relevant-3,Yes,2023-11-27T19:07:40.887Z,2023-11-27T19:07:47.459Z
All,id,124,DONE,welcome,c0ad8eaa3bf9f7da5b34d7c8826b0d825ff84ab0,2023-11-15T16:40:53.761Z,2023-11-15T16:41:04.194Z
All,1017,124,DONE,relevant-1,Yes,2023-11-15T16:41:09.578Z,2023-11-15T16:41:26.017Z
All,1017,124,DONE,relevant-2,Empirical study,2023-11-15T16:41:28.580Z,2023-11-15T16:42:00.579Z
All,1017,124,DONE,relevant-3,Yes,2023-11-15T16:42:00.936Z,2023-11-15T16:42:06.535Z
All,8952,124,DONE,relevant-1,Yes,2023-11-15T16:42:09.117Z,2023-11-15T16:42:13.751Z
All,8952,124,DONE,relevant-2,Empirical study,2023-11-15T16:42:14.298Z,2023-11-15T16:42:22.751Z
All,8952,124,DONE,relevant-3,Yes,2023-11-15T16:42:23.223Z,2023-11-15T16:42:26.567Z
All,4780,124,DONE,relevant-1,Yes,2023-11-15T16:42:28.223Z,2023-11-15T16:42:30.159Z
All,4780,124,DONE,relevant-2,Empirical study,2023-11-15T16:42:32.362Z,2023-11-15T16:42:41.815Z
All,4780,124,DONE,relevant-3,Yes,2023-11-15T16:42:42.905Z,2023-11-15T16:42:44.487Z
All,12428,124,DONE,relevant-1,Yes,2023-11-15T16:42:45.166Z,2023-11-15T16:42:54.348Z
All,12428,124,DONE,relevant-2,Overview,2023-11-15T16:42:54.894Z,2023-11-15T16:43:02.332Z
All,12428,124,DONE,relevant-3,IRRELEVANT,,
All,11514,124,DONE,relevant-1,Yes,2023-11-15T16:43:04.534Z,2023-11-15T16:43:05.868Z
All,11514,124,DONE,relevant-2,something else,2023-11-15T16:43:06.877Z,2023-11-15T16:43:18.987Z
All,11514,124,DONE,relevant-3,IRRELEVANT,,
All,15727,124,DONE,relevant-1,Yes,2023-11-15T16:43:21.832Z,2023-11-15T16:43:25.748Z
All,15727,124,DONE,relevant-2,something else,2023-11-15T16:43:28.647Z,2023-11-15T16:43:30.116Z
All,15727,124,DONE,relevant-3,IRRELEVANT,,
All,id,125,DONE,welcome,ced1465d2d5441553ac43337ddd3cf4c996b381d,2023-11-16T14:29:02.878Z,2023-11-16T14:29:09.788Z
All,1017,125,DONE,relevant-1,Yes,2023-11-16T14:29:12.835Z,2023-11-16T14:45:38.374Z
All,1017,125,DONE,relevant-3,Yes,2023-11-16T14:46:31.466Z,2023-11-16T14:47:13.421Z
All,1017,125,DONE,relevant-2,Methodological paper,2023-11-16T15:18:03.607Z,2023-11-16T15:18:04.989Z
All,id,126,DONE,welcome,e2229e559986fdebd6ee950e30050c1f6dc1243b,2023-11-16T14:43:53.025Z,2023-11-16T14:44:00.007Z
All,1017,126,DONE,relevant-1,Yes,2023-11-16T14:44:03.330Z,2023-11-16T14:45:41.325Z
All,1017,126,DONE,relevant-3,Yes,2023-11-16T14:46:33.265Z,2023-11-16T14:47:16.345Z
All,1017,126,DONE,relevant-2,Methodological paper,2023-11-20T17:05:29.984Z,2023-11-20T17:05:57.035Z
All,8952,125,DONE,relevant-1,Yes,2023-11-16T14:47:14.061Z,2023-11-16T14:49:57.801Z
All,8952,125,DONE,relevant-2,Empirical study,2023-11-16T15:16:27.186Z,2023-11-16T15:16:28.545Z
All,8952,125,DONE,relevant-3,Yes,2023-11-16T15:16:28.749Z,2023-11-16T15:16:32.753Z
All,8952,126,DONE,relevant-1,Yes,2023-11-16T14:47:17.111Z,2023-11-16T14:50:04.814Z
All,8952,126,DONE,relevant-2,Methodological paper,2023-11-16T14:50:05.449Z,2023-11-16T14:50:07.040Z
All,8952,126,DONE,relevant-3,Yes,2023-11-20T17:06:51.482Z,2023-11-20T17:07:57.157Z
All,4780,126,DONE,relevant-1,No (or unclear),2023-11-20T16:47:53.747Z,2023-11-20T16:59:28.577Z
All,4780,126,DONE,relevant-2,IRRELEVANT,,
All,4780,126,DONE,relevant-3,IRRELEVANT,,
All,4780,125,DONE,relevant-1,Yes,2023-11-16T14:50:56.701Z,2023-11-16T15:03:50.855Z
All,4780,125,DONE,relevant-2,Empirical study,2023-11-16T15:03:51.258Z,2023-11-16T15:03:57.020Z
All,4780,125,DONE,relevant-3,No (or unclear),2023-11-16T15:03:57.239Z,2023-11-16T15:12:29.550Z
All,12428,125,DONE,relevant-1,Yes,2023-11-16T15:12:30.188Z,2023-11-16T15:14:31.719Z
All,12428,125,DONE,relevant-2,Empirical study,2023-11-16T15:30:10.820Z,2023-11-16T15:30:13.743Z
All,12428,125,DONE,relevant-3,Yes,2023-11-16T15:30:13.933Z,2023-11-16T15:30:26.394Z
All,11514,125,DONE,relevant-1,Yes,2023-11-16T15:30:27.031Z,2023-11-16T15:31:19.817Z
All,11514,125,DONE,relevant-2,Empirical study,2023-11-16T15:31:20.201Z,2023-11-16T15:31:22.120Z
All,11514,125,DONE,relevant-3,Yes,2023-11-16T15:31:22.347Z,2023-11-16T15:31:23.729Z
All,15727,125,DONE,relevant-1,Yes,2023-11-16T15:31:24.363Z,2023-11-16T15:32:43.476Z
All,15727,125,DONE,relevant-2,Methodological paper,2023-11-16T15:32:43.866Z,2023-11-16T15:32:45.075Z
All,15727,125,DONE,relevant-3,Yes,2023-11-16T15:32:45.268Z,2023-11-16T15:32:47.347Z
All,12641,125,DONE,relevant-1,Yes,2023-11-16T15:32:47.980Z,2023-11-16T15:34:00.181Z
All,12641,125,DONE,relevant-2,Empirical study,2023-11-16T15:34:00.677Z,2023-11-16T15:34:02.362Z
All,12641,125,DONE,relevant-3,Yes,2023-11-16T15:34:02.559Z,2023-11-16T15:34:04.011Z
All,9698,125,DONE,relevant-1,Yes,2023-11-16T15:34:04.641Z,2023-11-16T15:34:51.776Z
All,9698,125,DONE,relevant-2,Methodological paper,2023-11-16T15:34:52.157Z,2023-11-16T15:34:53.396Z
All,9698,125,DONE,relevant-3,Yes,2023-11-16T15:34:53.585Z,2023-11-16T15:34:55.082Z
All,4054,125,DONE,relevant-1,No (or unclear),2023-11-16T15:34:55.716Z,2023-11-16T15:37:54.444Z
All,4054,125,DONE,relevant-2,IRRELEVANT,,
All,4054,125,DONE,relevant-3,IRRELEVANT,,
All,14110,125,DONE,relevant-1,Yes,2023-11-16T15:37:55.228Z,2023-11-16T15:40:01.698Z
All,14110,125,DONE,relevant-2,Methodological paper,2023-11-16T15:40:02.072Z,2023-11-16T15:40:03.403Z
All,14110,125,DONE,relevant-3,Yes,2023-11-16T15:40:03.591Z,2023-11-16T15:41:03.535Z
All,15098,125,DONE,relevant-1,Yes,2023-11-16T15:41:04.171Z,2023-11-16T15:42:35.043Z
All,15098,125,DONE,relevant-2,Methodological paper,2023-11-16T15:42:35.436Z,2023-11-16T15:42:37.262Z
All,15098,125,DONE,relevant-3,Yes,2023-11-16T15:42:37.460Z,2023-11-16T15:43:01.835Z
All,10162,125,DONE,relevant-1,Yes,2023-11-16T15:43:02.476Z,2023-11-16T15:44:32.375Z
All,10162,125,DONE,relevant-2,Methodological paper,2023-11-16T15:44:32.761Z,2023-11-16T15:44:52.218Z
All,10162,125,DONE,relevant-3,Yes,2023-11-16T15:44:52.413Z,2023-11-16T15:44:53.652Z
All,1301,125,DONE,relevant-1,Yes,2023-11-16T15:44:54.292Z,2023-11-16T15:46:22.472Z
All,1301,125,DONE,relevant-2,Empirical study,2023-11-16T15:46:22.842Z,2023-11-16T15:46:33.898Z
All,1301,125,DONE,relevant-3,Yes,2023-11-16T15:46:34.102Z,2023-11-16T15:46:35.464Z
All,9778,125,DONE,relevant-1,No (or unclear),2023-11-16T15:46:36.105Z,2023-11-16T15:53:45.532Z
All,9778,125,DONE,relevant-2,IRRELEVANT,,
All,9778,125,DONE,relevant-3,IRRELEVANT,,
All,1800,125,DONE,relevant-1,Yes,2023-11-16T15:53:46.378Z,2023-11-16T15:59:42.936Z
All,1800,125,DONE,relevant-2,Empirical study,2023-11-16T15:59:43.322Z,2023-11-16T15:59:44.443Z
All,1800,125,DONE,relevant-3,Yes,2023-11-16T15:59:44.637Z,2023-11-16T15:59:45.770Z
All,14854,125,DONE,relevant-1,Yes,2023-11-17T21:26:08.938Z,2023-11-17T21:26:13.175Z
All,14854,125,DONE,relevant-2,Methodological paper,2023-11-17T21:27:37.480Z,2023-11-17T21:27:42.123Z
All,14854,125,DONE,relevant-3,Yes,2023-11-17T21:27:42.331Z,2023-11-17T21:27:49.787Z
All,1301,123,DONE,relevant-1,No (or unclear),2023-11-17T08:39:47.238Z,2023-11-17T08:40:24.420Z
All,1301,123,DONE,relevant-2,IRRELEVANT,,
All,1301,123,DONE,relevant-3,IRRELEVANT,,
All,9778,123,DONE,relevant-1,No (or unclear),2023-11-17T08:40:25.924Z,2023-11-17T08:40:44.016Z
All,9778,123,DONE,relevant-2,IRRELEVANT,,
All,9778,123,DONE,relevant-3,IRRELEVANT,,
All,1800,123,DONE,relevant-1,Yes,2023-11-17T08:40:45.190Z,2023-11-17T08:41:00.099Z
All,1800,123,DONE,relevant-2,Empirical study,2023-11-17T08:41:00.727Z,2023-11-17T08:41:01.971Z
All,1800,123,DONE,relevant-3,Yes,2023-11-17T08:41:02.278Z,2023-11-17T08:41:03.784Z
All,14854,123,DONE,relevant-1,Yes,2023-11-17T08:41:04.808Z,2023-11-17T08:42:04.655Z
All,14854,123,DONE,relevant-2,Empirical study,2023-11-17T08:42:06.264Z,2023-11-17T08:42:13.977Z
All,14854,123,DONE,relevant-3,No (or unclear),2023-11-17T08:42:14.282Z,2023-11-17T08:42:15.233Z
All,11874,123,DONE,relevant-1,Yes,2023-11-17T08:42:16.412Z,2023-11-17T08:42:28.709Z
All,11874,123,DONE,relevant-2,Empirical study,2023-11-17T08:42:29.771Z,2023-11-17T08:42:33.136Z
All,11874,123,DONE,relevant-3,Yes,2023-11-17T08:42:33.450Z,2023-11-17T08:42:38.381Z
All,9334,123,DONE,relevant-1,Yes,2023-11-17T08:42:39.558Z,2023-11-17T08:43:08.039Z
All,9334,123,DONE,relevant-2,Empirical study,2023-11-17T08:43:08.664Z,2023-11-17T08:43:10.340Z
All,9334,123,DONE,relevant-3,Yes,2023-11-17T08:43:10.729Z,2023-11-17T08:43:12.080Z
All,1129,123,DONE,relevant-1,No (or unclear),2023-11-17T08:43:13.029Z,2023-11-17T08:43:34.144Z
All,1129,123,DONE,relevant-2,IRRELEVANT,,
All,1129,123,DONE,relevant-3,IRRELEVANT,,
All,10351,123,DONE,relevant-1,No (or unclear),2023-11-17T08:43:35.514Z,2023-11-17T08:43:42.029Z
All,10351,123,DONE,relevant-2,IRRELEVANT,,
All,10351,123,DONE,relevant-3,IRRELEVANT,,
All,878,123,DONE,relevant-1,Yes,2023-11-17T08:43:43.291Z,2023-11-17T08:44:36.568Z
All,878,123,DONE,relevant-2,Empirical study,2023-11-17T08:44:37.207Z,2023-11-17T08:44:39.266Z
All,878,123,DONE,relevant-3,Yes,2023-11-17T08:44:39.755Z,2023-11-17T08:44:42.087Z
All,10001,123,DONE,relevant-1,Yes,2023-11-17T08:44:43.058Z,2023-11-17T08:45:16.476Z
All,10001,123,DONE,relevant-2,Empirical study,2023-11-17T08:45:17.321Z,2023-11-17T08:45:18.808Z
All,10001,123,DONE,relevant-3,Yes,2023-11-17T08:45:19.201Z,2023-11-17T08:45:20.739Z
All,8694,123,DONE,relevant-1,Yes,2023-11-17T08:45:21.802Z,2023-11-17T08:45:41.156Z
All,8694,123,DONE,relevant-2,Empirical study,2023-11-17T08:45:41.831Z,2023-11-17T08:45:42.881Z
All,8694,123,DONE,relevant-3,Yes,2023-11-17T08:45:43.498Z,2023-11-17T08:45:44.503Z
All,6029,123,DONE,relevant-1,Yes,2023-11-17T08:45:45.612Z,2023-11-17T08:46:04.870Z
All,6029,123,DONE,relevant-2,Methodological paper,2023-11-17T08:46:06.247Z,2023-11-17T08:46:16.187Z
All,6029,123,DONE,relevant-3,Yes,2023-11-17T08:46:16.582Z,2023-11-17T08:46:18.277Z
All,6633,123,DONE,relevant-1,Yes,2023-11-17T08:46:19.280Z,2023-11-17T08:47:46.639Z
All,6633,123,DONE,relevant-2,something else,2023-11-17T08:47:47.228Z,2023-11-17T08:48:09.180Z
All,6633,123,DONE,relevant-3,IRRELEVANT,,
All,15018,123,DONE,relevant-1,Yes,2023-11-17T08:48:14.993Z,2023-11-17T08:48:32.759Z
All,15018,123,DONE,relevant-2,Empirical study,2023-11-17T08:48:33.154Z,2023-11-17T08:48:34.806Z
All,15018,123,DONE,relevant-3,No (or unclear),2023-11-17T08:48:35.134Z,2023-11-17T08:48:36.707Z
All,5076,123,DONE,relevant-1,Yes,2023-11-17T08:48:37.406Z,2023-11-17T08:51:36.425Z
All,5076,123,DONE,relevant-2,Empirical study,2023-11-17T08:51:37.005Z,2023-11-17T08:51:39.524Z
All,5076,123,DONE,relevant-3,Yes,2023-11-17T08:51:39.884Z,2023-11-17T08:51:41.826Z
All,13358,123,DONE,relevant-1,Yes,2023-11-17T08:51:43.046Z,2023-11-17T08:52:30.737Z
All,13358,123,DONE,relevant-2,Empirical study,2023-11-17T08:52:31.424Z,2023-11-17T08:52:44.917Z
All,13358,123,DONE,relevant-3,Yes,2023-11-17T08:52:45.289Z,2023-11-17T08:52:47.344Z
All,2901,123,DONE,relevant-1,No (or unclear),2023-11-17T08:52:48.488Z,2023-11-17T08:54:04.869Z
All,2901,123,DONE,relevant-2,IRRELEVANT,,
All,2901,123,DONE,relevant-3,IRRELEVANT,,
All,7674,123,DONE,relevant-1,Yes,2023-11-17T08:54:06.134Z,2023-11-17T08:54:15.451Z
All,7674,123,DONE,relevant-2,Empirical study,2023-11-17T08:54:16.022Z,2023-11-17T08:54:21.065Z
All,7674,123,DONE,relevant-3,Yes,2023-11-17T08:54:21.380Z,2023-11-17T08:54:22.849Z
All,12679,123,DONE,relevant-1,No (or unclear),2023-11-17T08:54:23.796Z,2023-11-17T08:55:18.007Z
All,12679,123,DONE,relevant-2,IRRELEVANT,,
All,12679,123,DONE,relevant-3,IRRELEVANT,,
All,4655,123,DONE,relevant-1,Yes,2023-11-17T08:55:19.284Z,2023-11-17T08:55:39.988Z
All,4655,123,DONE,relevant-2,Empirical study,2023-11-17T08:55:40.552Z,2023-11-17T08:55:41.940Z
All,4655,123,DONE,relevant-3,No (or unclear),2023-11-17T08:55:42.231Z,2023-11-17T08:55:43.557Z
All,11372,123,DONE,relevant-1,Yes,2023-11-17T08:55:44.450Z,2023-11-17T08:56:24.793Z
All,11372,123,DONE,relevant-2,Overview,2023-11-17T08:56:25.385Z,2023-11-17T08:56:29.412Z
All,11372,123,DONE,relevant-3,IRRELEVANT,,
All,2160,123,DONE,relevant-1,Yes,2023-11-17T08:56:30.412Z,2023-11-17T08:57:44.507Z
All,2160,123,DONE,relevant-2,Methodological paper,2023-11-17T08:57:45.184Z,2023-11-17T08:57:52.830Z
All,2160,123,DONE,relevant-3,No (or unclear),2023-11-17T08:57:53.216Z,2023-11-17T08:57:55.251Z
All,3479,123,DONE,relevant-1,Yes,2023-11-17T08:57:56.266Z,2023-11-17T08:58:03.334Z
All,3479,123,DONE,relevant-2,Empirical study,2023-11-17T08:58:03.923Z,2023-11-17T08:58:06.748Z
All,3479,123,DONE,relevant-3,No (or unclear),2023-11-17T08:58:07.111Z,2023-11-17T08:58:07.720Z
All,1949,123,DONE,relevant-1,Yes,2023-11-17T08:58:09.001Z,2023-11-17T08:58:53.753Z
All,1949,123,DONE,relevant-2,Methodological paper,2023-11-17T08:58:54.537Z,2023-11-17T08:59:08.139Z
All,1949,123,DONE,relevant-3,Yes,2023-11-17T08:59:08.512Z,2023-11-17T08:59:43.734Z
All,2581,123,DONE,relevant-1,Yes,2023-11-17T08:59:44.780Z,2023-11-17T09:01:01.298Z
All,2581,123,DONE,relevant-2,Empirical study,2023-11-17T09:01:01.946Z,2023-11-17T09:01:07.687Z
All,2581,123,DONE,relevant-3,Yes,2023-11-17T09:01:07.986Z,2023-11-17T09:01:09.133Z
All,1531,123,DONE,relevant-1,Yes,2023-11-17T09:01:10.106Z,2023-11-17T09:02:54.620Z
All,1531,123,DONE,relevant-2,Empirical study,2023-11-17T09:02:55.269Z,2023-11-17T09:02:57.678Z
All,1531,123,DONE,relevant-3,Yes,2023-11-17T09:02:57.972Z,2023-11-17T09:02:59.364Z
All,15584,123,DONE,relevant-1,Yes,2023-11-17T09:03:00.396Z,2023-11-17T09:03:13.340Z
All,15584,123,DONE,relevant-2,Empirical study,2023-11-17T09:03:13.985Z,2023-11-17T09:03:15.452Z
All,15584,123,DONE,relevant-3,No (or unclear),2023-11-17T09:03:16.057Z,2023-11-17T09:03:16.739Z
All,7931,123,DONE,relevant-1,Yes,2023-11-17T09:03:17.741Z,2023-11-17T09:03:26.962Z
All,7931,123,DONE,relevant-2,Empirical study,2023-11-17T09:03:27.613Z,2023-11-17T09:05:10.376Z
All,7931,123,DONE,relevant-3,No (or unclear),2023-11-17T09:05:10.747Z,2023-11-17T09:05:11.780Z
All,15205,123,DONE,relevant-1,Yes,2023-11-17T09:05:12.763Z,2023-11-17T09:05:19.317Z
All,15205,123,DONE,relevant-2,Empirical study,2023-11-17T09:05:19.911Z,2023-11-17T09:05:21.239Z
All,15205,123,DONE,relevant-3,Yes,2023-11-17T09:05:21.569Z,2023-11-17T09:05:22.592Z
All,4638,123,DONE,relevant-1,Yes,2023-11-17T09:05:24.017Z,2023-11-17T09:05:37.038Z
All,4638,123,DONE,relevant-2,Empirical study,2023-11-17T09:05:37.798Z,2023-11-17T09:05:40.218Z
All,4638,123,DONE,relevant-3,No (or unclear),2023-11-17T09:05:40.926Z,2023-11-17T09:05:42.141Z
All,6626,123,DONE,relevant-1,No (or unclear),2023-11-17T09:05:43.143Z,2023-11-17T09:06:58.997Z
All,6626,123,DONE,relevant-2,IRRELEVANT,,
All,6626,123,DONE,relevant-3,IRRELEVANT,,
All,4349,123,DONE,relevant-1,Yes,2023-11-17T09:07:00.157Z,2023-11-17T09:07:08.026Z
All,4349,123,DONE,relevant-2,Methodological paper,2023-11-17T09:07:08.660Z,2023-11-17T09:07:09.803Z
All,4349,123,DONE,relevant-3,Yes,2023-11-17T09:07:22.711Z,2023-11-17T09:07:24.219Z
All,1222,123,DONE,relevant-1,No (or unclear),2023-11-17T09:07:27.960Z,2023-11-17T09:08:16.018Z
All,1222,123,DONE,relevant-2,IRRELEVANT,,
All,1222,123,DONE,relevant-3,IRRELEVANT,,
